Cruise,Cycle,Tow,Net,Latitude,Longitude,Time_PST,Night0Day1,minDepth,maxDepth,Class,Abundance (#/m^3),ugcarbon_n,ugcarbon_mean,ugcarbon_mean-1outlier,ugcarbon_mean-2outliers,ugcarbon_median,Carbon_mg_sum,Carbon_mg_sum-1outlier,Carbon_mg_sum-2outliers
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,doliolids,0.007067,1,168.844962,NaN,NaN,168.844962,0.001193,NaN,NaN
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,eggs,13.003534,23,14.417292,11.571240,9.954820,5.794348,0.187476,0.143925,0.118192
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,euphausiids,2.219081,26,1166.648772,973.505540,922.278279,642.312370,2.588888,2.153408,2.033575
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,multiples,0.565371,1,13.618206,NaN,NaN,13.618206,0.007699,NaN,NaN
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,nauplii,1.696113,3,3.118306,2.577110,2.959113,2.959113,0.005289,0.002914,0.001673
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,ostracods,30.388693,56,4.034604,3.863794,3.724249,1.915990,0.122606,0.116870,0.112122
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,others,2.113074,24,909.833032,753.278068,704.840057,7.173052,1.922545,1.586409,1.479417
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,polychaete,0.021201,3,479.528017,385.109081,306.415223,463.802938,0.010167,0.005443,0.002165
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,pteropoda,1.851590,6,1.474888,1.009705,0.550074,0.478634,0.002731,0.001862,0.001011
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,pyrosomes,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,radiolarians,5.229682,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,salps,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,appendicularia,1.946309,6,34.236832,16.445768,7.462720,6.643971,0.066635,0.027594,0.010017
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,bryozoan_larvae,0.335570,1,1.313506,NaN,NaN,1.313506,0.000441,NaN,NaN
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,chaetognatha,2.778523,14,53.864613,49.351527,48.346032,44.459055,0.149664,0.136793,0.133682
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,cnidaria,0.402685,11,45.811121,214.065058,223.151064,12.160334,0.018447,0.014367,0.013479
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,copepoda_calanoida,109.865772,335,16.381546,16.065346,15.772209,8.575026,1.799771,1.760719,1.724358
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,copepoda_eucalanids,14.630872,54,676.623368,650.048165,627.547113,591.427772,9.899590,9.336262,8.844624
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,copepoda_harpacticoida,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,copepoda_oithona_like,24.161074,72,3.090975,3.013655,2.938172,2.802271,0.074681,0.071802,0.069017
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,copepoda_others,20.469799,61,3.814123,3.395754,3.207816,1.929885,0.078074,0.068371,0.063510
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,copepoda_poecilostomatoids,51.677852,154,2.394121,2.371063,2.352322,2.060872,0.123723,0.121736,0.119984
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,crustacea_others,0.671141,2,0.288658,0.454416,NaN,0.122899,0.000194,0.000152,NaN
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,doliolids,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,eggs,3.362416,11,77.257942,26.333100,16.782472,6.182431,0.259773,0.079706,0.045166
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,euphausiids,0.006711,1,9511.934901,NaN,NaN,9511.934901,0.063838,NaN,NaN
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,multiples,1.342282,4,7.774838,5.926951,6.762745,6.156260,0.010436,0.005967,0.004539
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,nauplii,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,ostracods,5.033557,15,3.018617,2.570496,2.261562,1.677487,0.015194,0.012076,0.009866
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,others,0.691275,5,128.485951,56.310752,22.927308,4.798379,0.088819,0.038548,0.015541
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,polychaete,1.006711,3,14.235183,9.935581,12.461238,12.461238,0.014331,0.006668,0.004182
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,pteropoda,1.208054,4,202.375386,110.960747,0.909653,1.247276,0.244480,0.104258,0.000611
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,pyrosomes,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,radiolarians,1.677852,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P1604,1,1,2,3.303124e+01,1.229335e+02,22-Apr-2016 15:15:00,1,301,350,salps,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,appendicularia,1.723926,5,32.218890,16.785106,12.276661,12.545264,0.055543,0.026877,0.013632
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,bryozoan_larvae,1.104294,2,1.111448,1.057105,NaN,1.057105,0.001227,0.000649,NaN
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,chaetognatha,8.963190,44,71.253003,70.745593,62.776654,36.540596,0.638654,0.633672,0.554591
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,cnidaria,3.453988,35,49.745682,55.340839,61.907263,41.477309,0.171821,0.163985,0.153059
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,copepoda_calanoida,140.122699,268,11.482881,11.215547,11.035199,5.859899,1.609012,1.570177,1.543574
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,copepoda_eucalanids,16.576687,108,421.738183,413.432911,405.439068,310.080604,6.991022,6.802620,6.621342
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,copepoda_harpacticoida,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,copepoda_oithona_like,25.644172,47,3.416348,3.316983,3.239278,3.205337,0.087609,0.083026,0.079094
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,copepoda_others,13.987730,26,2.879201,2.672539,2.425276,2.171824,0.040273,0.036071,0.031246
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,copepoda_poecilostomatoids,26.012270,47,3.332185,3.157205,3.064814,2.507931,0.086678,0.080189,0.076338
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,crustacea_others,0.619632,2,13.255325,1322.905921,NaN,0.158819,0.008213,0.008116,NaN
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,doliolids,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,eggs,3.803681,8,83.514207,34.725934,28.056533,46.354787,0.317661,0.115043,0.079178
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,euphausiids,0.386503,6,424.648337,279.432601,161.729408,107.917502,0.164128,0.106287,0.060525
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,multiples,1.595092,3,5.794378,4.258925,4.684720,4.684720,0.009243,0.004703,0.002874
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,nauplii,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,ostracods,17.055215,31,6.336894,5.647200,5.160193,3.354899,0.108077,0.092850,0.082310
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,others,0.736196,3,60.028606,29.828721,31.352623,31.352623,0.044193,0.018300,0.015388
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,polychaete,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,pteropoda,1.601227,7,183.904461,128.236860,93.824242,119.262170,0.294473,0.189602,0.127210
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,pyrosomes,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,radiolarians,1.595092,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P1604,1,1,3,3.303124e+01,1.229335e+02,22-Apr-2016 15:20:59,1,252,301,salps,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,appendicularia,7.738693,17,15.259162,14.717019,12.365574,12.611764,0.118086,0.112411,0.088237
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,bryozoan_larvae,1.507538,3,0.838879,0.363878,0.356619,0.371138,0.001265,0.000366,0.000179
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,chaetognatha,35.015075,172,27.234708,26.460829,26.370234,18.210577,0.953625,0.926395,0.923091
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,cnidaria,1.035176,31,69.472619,114.802229,115.641676,43.226136,0.071916,0.061151,0.061017
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,copepoda_calanoida,353.869347,717,7.451132,7.309667,7.283937,5.191518,2.636727,2.582994,2.573170
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,copepoda_eucalanids,9.246231,48,172.110091,160.916143,153.575148,50.223043,1.591370,1.471695,1.389122
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,copepoda_harpacticoida,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,copepoda_oithona_like,24.623116,49,2.563059,2.478309,2.395992,2.783284,0.063110,0.059778,0.056589
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,copepoda_others,26.130653,52,2.786771,2.362255,2.149873,1.670682,0.072820,0.060540,0.054017
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,copepoda_poecilostomatoids,22.713568,46,2.154983,2.028260,1.944092,1.811194,0.048947,0.045050,0.042203
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,crustacea_others,0.216080,5,107.875808,167.786194,907.605728,56.813264,0.023310,0.019392,0.013682
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,doliolids,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,eggs,3.015075,6,6.005670,4.849831,3.742791,3.314296,0.018108,0.012186,0.007523
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,euphausiids,0.804020,4,62.092574,8.428334,26.727033,1.108854,0.049924,0.005929,0.005372
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,multiples,2.010050,4,6.328824,7.613612,7.002510,6.694462,0.012721,0.011478,0.007038
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,nauplii,0.502513,1,2.171306,NaN,NaN,2.171306,0.001091,NaN,NaN
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,ostracods,8.040201,16,3.235847,2.476175,1.887465,1.503838,0.026017,0.018665,0.013279
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,others,1.306533,5,21.141676,14.614572,7.079473,8.166383,0.027622,0.017626,0.007827
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,polychaete,1.005025,2,12.745436,12.157307,NaN,12.157307,0.012809,0.006109,NaN
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,pteropoda,0.402010,4,433.096677,284.279034,419.282941,290.326750,0.174109,0.085712,0.084278
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,pyrosomes,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,radiolarians,7.537688,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P1604,1,1,4,3.303124e+01,1.229335e+02,22-Apr-2016 15:27:59,1,200,252,salps,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,appendicularia,41.520202,88,18.907410,18.850287,17.520142,9.943445,0.785039,0.782573,0.718503
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,bryozoan_larvae,3.030303,6,1.141488,1.054453,0.957589,0.868776,0.003459,0.002663,0.001935
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,chaetognatha,30.530303,135,18.297852,18.270228,17.750250,9.818614,0.558639,0.557703,0.540038
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,cnidaria,3.914141,33,49.209343,48.910194,48.689356,27.585427,0.192612,0.191194,0.190085
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,copepoda_calanoida,345.257576,695,5.296773,5.268479,5.240859,3.086993,1.828751,1.818450,1.808388
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,copepoda_eucalanids,5.656566,20,126.217422,114.321955,106.374831,91.384985,0.713957,0.635122,0.580226
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,copepoda_harpacticoida,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,copepoda_oithona_like,32.828283,65,2.424908,2.384214,2.342656,2.145234,0.079606,0.077065,0.074539
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,copepoda_others,43.535354,87,1.974888,1.887676,1.814766,1.433637,0.085977,0.081227,0.077173
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,copepoda_poecilostomatoids,20.813131,43,2.031805,1.934244,1.865352,1.546485,0.042288,0.039281,0.036940
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,crustacea_others,1.121212,5,21.034884,18.816446,17.246504,16.358079,0.023585,0.021002,0.019163
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,doliolids,0.101010,1,84.069709,NaN,NaN,84.069709,0.008492,NaN,NaN
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,eggs,10.000000,23,33.107120,27.636859,22.557262,6.360331,0.331071,0.273577,0.221016
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,euphausiids,1.722222,6,70.146344,55.493292,15.400498,0.737603,0.120808,0.095292,0.024890
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,multiples,4.141414,9,9.860260,7.149377,5.640952,6.546610,0.040835,0.025998,0.017664
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,nauplii,2.020202,4,2.593224,1.645463,1.482634,1.616473,0.005239,0.002493,0.001498
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,ostracods,12.626263,25,3.713439,2.645845,2.065027,1.556498,0.046887,0.032071,0.023988
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,others,0.505051,1,0.420752,NaN,NaN,0.420752,0.000213,NaN,NaN
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,polychaete,1.010101,2,6.260355,6.092445,NaN,6.092445,0.006324,0.003077,NaN
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,pteropoda,4.141414,13,85.475205,55.026903,42.636134,0.670510,0.353988,0.222331,0.167961
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,pyrosomes,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,radiolarians,14.752525,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P1604,1,1,5,3.303124e+01,1.229335e+02,22-Apr-2016 15:36:00,1,152,202,salps,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,appendicularia,31.224806,66,3.899330,3.618200,3.141968,1.773772,0.121756,0.112791,0.096321
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,bryozoan_larvae,39.276486,76,1.182048,1.167899,1.179100,1.174396,0.046427,0.045267,0.045092
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,chaetognatha,6.801034,83,37.392030,36.711929,36.496679,24.087482,0.254304,0.249489,0.247838
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,cnidaria,0.806202,12,66.641180,68.077352,69.688573,60.062475,0.053726,0.051366,0.048980
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,copepoda_calanoida,217.111111,431,4.427979,4.401546,4.380242,2.004436,0.961363,0.955397,0.950547
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,copepoda_eucalanids,1.136951,4,174.781262,152.753717,288.905702,287.031629,0.198718,0.165779,0.164236
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,copepoda_harpacticoida,1.550388,3,1.861339,1.551438,1.252263,1.850614,0.002886,0.001604,0.000647
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,copepoda_oithona_like,99.224806,192,1.651108,1.621650,1.597051,1.043175,0.163831,0.160070,0.156816
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,copepoda_others,45.478036,88,1.622725,1.453175,1.401720,1.135389,0.073798,0.065337,0.062299
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,copepoda_poecilostomatoids,33.591731,65,2.201165,2.153685,2.107241,1.827238,0.073941,0.071233,0.068608
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,crustacea_others,1.633075,10,33.018465,17.246422,7.086340,0.368191,0.053922,0.028076,0.011499
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,doliolids,0.005168,1,133.563265,NaN,NaN,133.563265,0.000690,NaN,NaN
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,eggs,9.927649,22,9.740891,6.846139,5.878745,4.439530,0.096704,0.067612,0.055020
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,euphausiids,1.291990,7,55.336750,33.613919,20.507846,15.930983,0.071495,0.041692,0.024376
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,multiples,5.271318,12,6.215299,5.961820,4.969372,3.789540,0.032763,0.031119,0.023370
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,nauplii,1.033592,2,2.416218,3.269057,NaN,1.563380,0.002497,0.001689,NaN
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,ostracods,17.571059,34,2.690977,2.151317,1.764921,1.225893,0.047283,0.036689,0.029187
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,others,0.625323,4,80.204324,27.131533,10.057782,3.744604,0.050154,0.016826,0.005718
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,polychaete,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,pteropoda,15.400517,46,44.531120,40.775792,37.075686,0.632338,0.685802,0.625861,0.567153
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,pyrosomes,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,radiolarians,28.640827,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P1604,1,1,6,3.303124e+01,1.229335e+02,22-Apr-2016 15:44:00,1,102,152,salps,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,7,3.303124e+01,1.229335e+02,22-Apr-2016 15:51:59,1,50,102,appendicularia,45.427350,56,8.428394,8.194925,7.739135,4.221886,0.382880,0.371924,0.344623
P1604,1,1,7,3.303124e+01,1.229335e+02,22-Apr-2016 15:51:59,1,50,102,bryozoan_larvae,2.564103,3,1.184704,1.137820,1.155538,1.155538,0.003038,0.001945,0.000988
P1604,1,1,7,3.303124e+01,1.229335e+02,22-Apr-2016 15:51:59,1,50,102,chaetognatha,25.901709,170,19.926729,19.523097,19.148868,13.752758,0.516136,0.504847,0.494352
P1604,1,1,7,3.303124e+01,1.229335e+02,22-Apr-2016 15:51:59,1,50,102,cnidaria,2.739316,8,20.174908,19.961100,18.525302,17.517701,0.055265,0.054594,0.049876
P1604,1,1,7,3.303124e+01,1.229335e+02,22-Apr-2016 15:51:59,1,50,102,copepoda_calanoida,740.128205,922,4.942988,4.930835,4.783981,2.874163,3.658445,3.649239,3.536466
